Commodity,Year,Value,State,ProdPractice
HAY,2012,1.20000,ALASKA,"IRRIGATED, NONE OF CROP"
HAYLAGE,2012,3.90000,WASHINGTON,"IRRIGATED, PART OF CROP"
CORN,2012,19.40000,GEORGIA,"IRRIGATED, PART OF CROP"
CORN,2012,19.50000,GEORGIA,"IRRIGATED, NONE OF CROP"
HAY,2012,.00000,GEORGIA,"IRRIGATED, ENTIRE CROP"
SUGARBEETS,2012,.00000,WASHINGTON,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2012,4.20000,WASHINGTON,"IRRIGATED, NONE OF CROP"
HAYLAGE,2012,10.40000,WASHINGTON,"IRRIGATED, PART OF CROP"
CORN,2012,20.10000,WYOMING,"IRRIGATED, PART OF CROP"
CORN,2012,12.20000,WYOMING,"IRRIGATED, NONE OF CROP"
HAY,2012,1.20000,WYOMING,"IRRIGATED, NONE OF CROP"
HAYLAGE,2012,1.90000,WYOMING,"IRRIGATED, ENTIRE CROP"
HAY,2012,2.20000,GEORGIA,"IRRIGATED, NONE OF CROP"
HAYLAGE,2012,6.80000,GEORGIA,"IRRIGATED, PART OF CROP"
HAY,2012,2.00000,WASHINGTON,"IRRIGATED, ENTIRE CROP"
HAY,2012,.00000,GEORGIA,"IRRIGATED, PART OF CROP"
HAY,2012,1.60000,WASHINGTON,"IRRIGATED, NONE OF CROP"
HAY,2012,1.40000,WASHINGTON,"IRRIGATED, NONE OF CROP"
HAYLAGE,2012,6.90000,WASHINGTON,"IRRIGATED, ENTIRE CROP"
HAY,2012,1.20000,WEST VIRGINIA,"IRRIGATED, NONE OF CROP"
HAYLAGE,2012,4.20000,WEST VIRGINIA,"IRRIGATED, NONE OF CROP"
HAY,2012,3.50000,GEORGIA,"IRRIGATED, ENTIRE CROP"
HAY,2012,.00000,ALASKA,"IRRIGATED, PART OF CROP"
HAY,2012,1.20000,ALASKA,"IRRIGATED, NONE OF CROP"
SUGARBEETS,2012,28.00000,WYOMING,"IRRIGATED, ENTIRE CROP"
HAY,2012,1.90000,WYOMING,"IRRIGATED, PART OF CROP"
HAY,2012,1.40000,WYOMING,"IRRIGATED, NONE OF CROP"
HAYLAGE,2012,5.90000,WYOMING,"IRRIGATED, ENTIRE CROP"
HAY,2012,.90000,WYOMING,"IRRIGATED, NONE OF CROP"
HAYLAGE,2012,5.00000,WISCONSIN,"IRRIGATED, ENTIRE CROP"
HAY,2012,4.50000,ALABAMA,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2012,.00000,ALABAMA,"IRRIGATED, NONE OF CROP"
CORN,2012,.00000,WEST VIRGINIA,"IRRIGATED, NONE OF CROP"
HAY,2012,1.40000,WYOMING,"IRRIGATED, ENTIRE CROP"
SUGARBEETS,2012,41.20000,CALIFORNIA,"IRRIGATED, PART OF CROP"
HAYLAGE,2012,5.30000,CALIFORNIA,"IRRIGATED, NONE OF CROP"
HAY,2012,2.60000,CALIFORNIA,"IRRIGATED, PART OF CROP"
HAY,2012,2.10000,CALIFORNIA,"IRRIGATED, NONE OF CROP"
HAY,2012,.00000,HAWAII,"IRRIGATED, ENTIRE CROP"
SUGARCANE,2012,63.80000,HAWAII,"IRRIGATED, NONE OF CROP"
HAY,2012,3.00000,COLORADO,"IRRIGATED, ENTIRE CROP"
HAY,2012,.90000,COLORADO,"IRRIGATED, NONE OF CROP"
HAYLAGE,2012,7.10000,COLORADO,"IRRIGATED, ENTIRE CROP"
HAY,2012,2.70000,COLORADO,"IRRIGATED, PART OF CROP"
HAY,2012,.90000,COLORADO,"IRRIGATED, NONE OF CROP"
HAY,2012,.90000,COLORADO,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2012,5.30000,IDAHO,"IRRIGATED, PART OF CROP"
HAY,2012,1.70000,VERMONT,"IRRIGATED, PART OF CROP"
HAY,2012,2.10000,IDAHO,"IRRIGATED, PART OF CROP"
HAY,2012,2.10000,IDAHO,"IRRIGATED, ENTIRE CROP"
HAY,2012,1.60000,IDAHO,"IRRIGATED, PART OF CROP"
SUGARBEETS,2012,8.00000,VERMONT,"IRRIGATED, ENTIRE CROP"
HAY,2012,.00000,VERMONT,"IRRIGATED, NONE OF CROP"
HAY,2012,.00000,VERMONT,"IRRIGATED, PART OF CROP"
HAY,2012,2.30000,VERMONT,"IRRIGATED, NONE OF CROP"
HAY,2012,1.60000,COLORADO,"IRRIGATED, NONE OF CROP"
HAY,2012,1.00000,COLORADO,"IRRIGATED, PART OF CROP"
HAY,2012,.80000,COLORADO,"IRRIGATED, PART OF CROP"
HAY,2012,3.30000,VIRGINIA,"IRRIGATED, ENTIRE CROP"
HAY,2012,2.10000,VIRGINIA,"IRRIGATED, NONE OF CROP"
HAY,2012,.00000,VIRGINIA,"IRRIGATED, PART OF CROP"
CORN,2012,10.40000,COLORADO,"IRRIGATED, NONE OF CROP"
HAY,2012,2.70000,CONNECTICUT,"IRRIGATED, NONE OF CROP"
HAY,2012,1.40000,CONNECTICUT,"IRRIGATED, NONE OF CROP"
HAYLAGE,2012,6.00000,CONNECTICUT,"IRRIGATED, ENTIRE CROP"
HAY,2012,1.80000,CONNECTICUT,"IRRIGATED, NONE OF CROP"
CORN,2012,20.00000,CONNECTICUT,"IRRIGATED, NONE OF CROP"
HAY,2012,3.40000,VIRGINIA,"IRRIGATED, PART OF CROP"
HAY,2012,3.10000,VIRGINIA,"IRRIGATED, PART OF CROP"
HAY,2012,2.80000,VIRGINIA,"IRRIGATED, NONE OF CROP"
HAYLAGE,2012,8.80000,VIRGINIA,"IRRIGATED, PART OF CROP"
HAYLAGE,2012,3.80000,VIRGINIA,"IRRIGATED, NONE OF CROP"
HAY,2012,.00000,DELAWARE,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2012,.00000,DELAWARE,"IRRIGATED, PART OF CROP"
HAY,2012,.00000,CONNECTICUT,"IRRIGATED, PART OF CROP"
HAY,2012,1.90000,CONNECTICUT,"IRRIGATED, PART OF CROP"
CORN,2012,.00000,CONNECTICUT,"IRRIGATED, ENTIRE CROP"
CORN,2012,19.20000,DELAWARE,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2007,.00000,OREGON,"IRRIGATED, NONE OF CROP"
HAYLAGE,2007,3.00000,PENNSYLVANIA,"IRRIGATED, PART OF CROP"
HAY,2012,2.10000,FLORIDA,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2012,.00000,FLORIDA,"IRRIGATED, NONE OF CROP"
HAY,2012,1.70000,FLORIDA,"IRRIGATED, PART OF CROP"
HAY,2012,.00000,DELAWARE,"IRRIGATED, PART OF CROP"
HAY,2012,3.40000,DELAWARE,"IRRIGATED, PART OF CROP"
CORN,2012,17.60000,FLORIDA,"IRRIGATED, PART OF CROP"
HAY,2012,.00000,ALASKA,"IRRIGATED, ENTIRE CROP"
HAY,2012,3.10000,DELAWARE,"IRRIGATED, ENTIRE CROP"
HAY,2012,2.70000,DELAWARE,"IRRIGATED, NONE OF CROP"
HAY,2012,3.90000,FLORIDA,"IRRIGATED, PART OF CROP"
HAY,2012,1.60000,FLORIDA,"IRRIGATED, NONE OF CROP"
HAYLAGE,2012,.00000,FLORIDA,"IRRIGATED, PART OF CROP"
HAYLAGE,2012,8.50000,FLORIDA,"IRRIGATED, PART OF CROP"
HAY,2012,1.70000,WEST VIRGINIA,"IRRIGATED, NONE OF CROP"
HAY,2012,.00000,WEST VIRGINIA,"IRRIGATED, NONE OF CROP"
HAY,2012,2.80000,WISCONSIN,"IRRIGATED, ENTIRE CROP"
HAY,2012,1.30000,WISCONSIN,"IRRIGATED, PART OF CROP"
HAYLAGE,2012,7.40000,WISCONSIN,"IRRIGATED, PART OF CROP"
HAY,2012,.00000,GEORGIA,"IRRIGATED, ENTIRE CROP"
CORN,2012,18.20000,INDIANA,"IRRIGATED, ENTIRE CROP"
HAY,2012,1.40000,INDIANA,"IRRIGATED, NONE OF CROP"
HAY,2012,2.50000,GEORGIA,"IRRIGATED, NONE OF CROP"
CORN,2012,14.60000,WISCONSIN,"IRRIGATED, NONE OF CROP"
HAY,2012,2.40000,WISCONSIN,"IRRIGATED, NONE OF CROP"
HAYLAGE,2012,4.70000,WISCONSIN,"IRRIGATED, NONE OF CROP"
CORN,2002,.00000,IDAHO,"IRRIGATED, NONE OF CROP"
HAY,2002,3.90000,NORTH DAKOTA,"IRRIGATED, ENTIRE CROP"
HAY,2012,5.00000,WASHINGTON,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2012,13.90000,GEORGIA,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2012,6.30000,GEORGIA,"IRRIGATED, ENTIRE CROP"
CORN,2012,.00000,WEST VIRGINIA,"IRRIGATED, PART OF CROP"
HAY,2012,2.20000,WYOMING,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2012,5.30000,WYOMING,"IRRIGATED, NONE OF CROP"
CORN,2012,26.30000,WASHINGTON,"IRRIGATED, ENTIRE CROP"
CORN,2012,19.90000,WISCONSIN,"IRRIGATED, ENTIRE CROP"
HAY,2012,2.00000,WISCONSIN,"IRRIGATED, ENTIRE CROP"
HAY,2012,2.80000,WASHINGTON,"IRRIGATED, PART OF CROP"
HAY,2012,1.90000,WASHINGTON,"IRRIGATED, NONE OF CROP"
HAY,2012,1.00000,ALASKA,"IRRIGATED, NONE OF CROP"
CORN,2012,21.90000,WASHINGTON,"IRRIGATED, NONE OF CROP"
HAY,2012,2.20000,WASHINGTON,"IRRIGATED, PART OF CROP"
HAYLAGE,2012,6.70000,WASHINGTON,"IRRIGATED, NONE OF CROP"
HAY,2012,3.10000,WYOMING,"IRRIGATED, ENTIRE CROP"
HAY,2012,1.10000,WYOMING,"IRRIGATED, ENTIRE CROP"
HAY,2012,1.80000,US TOTAL,"IRRIGATED, NONE OF CROP"
CORN,2012,20.50000,WYOMING,"IRRIGATED, ENTIRE CROP"
HAY,2012,1.60000,WYOMING,"IRRIGATED, PART OF CROP"
HAY,2012,1.40000,WISCONSIN,"IRRIGATED, NONE OF CROP"
HAY,2012,.00000,WEST VIRGINIA,"IRRIGATED, PART OF CROP"
CORN,2002,13.70000,NEBRASKA,"IRRIGATED, PART OF CROP"
HAY,2002,.00000,ILLINOIS,"IRRIGATED, PART OF CROP"
HAYLAGE,2002,4.80000,MICHIGAN,"IRRIGATED, NONE OF CROP"
HAY,2007,2.80000,WISCONSIN,"IRRIGATED, ENTIRE CROP"
CORN,2012,13.50000,US TOTAL,"IRRIGATED, NONE OF CROP"
CORN,2007,.00000,MASSACHUSETTS,"IRRIGATED, PART OF CROP"
CORN,2002,13.60000,FLORIDA,"IRRIGATED, PART OF CROP"
HAYLAGE,2002,.00000,DELAWARE,"IRRIGATED, ENTIRE CROP"
HAY,2012,.00000,IOWA,"IRRIGATED, NONE OF CROP"
HAYLAGE,2012,.00000,IOWA,"IRRIGATED, ENTIRE CROP"
HAY,2007,.00000,MASSACHUSETTS,"IRRIGATED, NONE OF CROP"
HAYLAGE,2007,.00000,HAWAII,"IRRIGATED, ENTIRE CROP"
HAY,2012,.00000,ARIZONA,"IRRIGATED, ENTIRE CROP"
HAY,2007,1.40000,KENTUCKY,"IRRIGATED, PART OF CROP"
HAY,2007,1.40000,US TOTAL,"IRRIGATED, ENTIRE CROP"
HAY,2007,.00000,HAWAII,"IRRIGATED, NONE OF CROP"
HAYLAGE,2012,.00000,ILLINOIS,"IRRIGATED, ENTIRE CROP"
HAY,2002,1.10000,FLORIDA,"IRRIGATED, PART OF CROP"
HAYLAGE,2002,7.50000,NEBRASKA,"IRRIGATED, ENTIRE CROP"
HAY,2002,2.40000,NORTH DAKOTA,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2007,7.70000,INDIANA,"IRRIGATED, PART OF CROP"
HAYLAGE,2007,7.40000,IOWA,"IRRIGATED, NONE OF CROP"
HAY,2002,.00000,GEORGIA,"IRRIGATED, PART OF CROP"
HAY,2007,1.80000,ARKANSAS,"IRRIGATED, PART OF CROP"
HAY,2002,1.70000,WASHINGTON,"IRRIGATED, NONE OF CROP"
CORN,2002,18.10000,INDIANA,"IRRIGATED, PART OF CROP"
HAY,2002,1.90000,NEW YORK,"IRRIGATED, NONE OF CROP"
HAYLAGE,2002,.00000,CONNECTICUT,"IRRIGATED, PART OF CROP"
CORN,2002,27.00000,WASHINGTON,"IRRIGATED, ENTIRE CROP"
HAY,2007,2.10000,MINNESOTA,"IRRIGATED, NONE OF CROP"
HAY,2007,2.00000,OKLAHOMA,"IRRIGATED, NONE OF CROP"
HAYLAGE,2002,11.00000,DELAWARE,"IRRIGATED, NONE OF CROP"
CORN,2007,19.90000,OREGON,"IRRIGATED, PART OF CROP"
HAY,2007,1.40000,MONTANA,"IRRIGATED, NONE OF CROP"
HAY,2007,1.70000,WASHINGTON,"IRRIGATED, ENTIRE CROP"
HAY,2002,5.10000,TEXAS,"IRRIGATED, ENTIRE CROP"
HAY,2002,2.40000,KANSAS,"IRRIGATED, PART OF CROP"
HAY,2007,4.20000,OREGON,"IRRIGATED, ENTIRE CROP"
HAY,2012,2.40000,ARIZONA,"IRRIGATED, NONE OF CROP"
HAY,2007,2.90000,OHIO,"IRRIGATED, NONE OF CROP"
HAY,2002,1.10000,SOUTH DAKOTA,"IRRIGATED, NONE OF CROP"
CORN,2002,20.40000,TEXAS,"IRRIGATED, PART OF CROP"
HAY,2002,2.00000,MONTANA,"IRRIGATED, PART OF CROP"
HAYLAGE,2002,3.10000,MINNESOTA,"IRRIGATED, PART OF CROP"
HAY,2002,2.60000,US TOTAL,"IRRIGATED, ENTIRE CROP"
HAY,2002,1.50000,WASHINGTON,"IRRIGATED, NONE OF CROP"
HAY,2002,3.30000,CALIFORNIA,"IRRIGATED, ENTIRE CROP"
HAY,2012,2.70000,INDIANA,"IRRIGATED, NONE OF CROP"
HAYLAGE,2012,.00000,INDIANA,"IRRIGATED, ENTIRE CROP"
HAY,2007,.00000,SOUTH CAROLINA,"IRRIGATED, NONE OF CROP"
HAY,2007,4.20000,NEW MEXICO,"IRRIGATED, PART OF CROP"
HAY,2002,1.40000,UTAH,"IRRIGATED, ENTIRE CROP"
SUGARCANE,2007,.00000,TEXAS,"IRRIGATED, ENTIRE CROP"
HAY,2007,3.00000,MINNESOTA,"IRRIGATED, ENTIRE CROP"
HAY,2007,1.40000,VIRGINIA,"IRRIGATED, NONE OF CROP"
HAY,2007,1.90000,TEXAS,"IRRIGATED, NONE OF CROP"
HAY,2002,2.40000,NEW YORK,"IRRIGATED, NONE OF CROP"
HAY,2012,1.50000,KANSAS,"IRRIGATED, NONE OF CROP"
HAY,2007,1.70000,ALABAMA,"IRRIGATED, ENTIRE CROP"
CORN,2002,18.60000,ILLINOIS,"IRRIGATED, PART OF CROP"
HAY,2002,2.00000,VIRGINIA,"IRRIGATED, NONE OF CROP"
CORN,2002,8.60000,ALABAMA,"IRRIGATED, NONE OF CROP"
HAY,2002,1.70000,VIRGINIA,"IRRIGATED, NONE OF CROP"
HAY,2002,1.50000,MASSACHUSETTS,"IRRIGATED, NONE OF CROP"
HAYLAGE,2012,7.40000,UTAH,"IRRIGATED, ENTIRE CROP"
CORN,2012,.00000,IOWA,"IRRIGATED, ENTIRE CROP"
HAY,2012,3.10000,IOWA,"IRRIGATED, NONE OF CROP"
HAY,2012,.00000,IOWA,"IRRIGATED, PART OF CROP"
CORN,2007,.00000,NEW JERSEY,"IRRIGATED, NONE OF CROP"
HAY,2007,7.60000,ARIZONA,"IRRIGATED, ENTIRE CROP"
HAY,2007,2.80000,NEW YORK,"IRRIGATED, PART OF CROP"
HAY,2007,1.40000,ALABAMA,"IRRIGATED, NONE OF CROP"
HAY,2002,3.80000,MISSOURI,"IRRIGATED, ENTIRE CROP"
HAY,2007,3.50000,KANSAS,"IRRIGATED, PART OF CROP"
HAY,2012,1.10000,US TOTAL,"IRRIGATED, PART OF CROP"
HAY,2002,1.70000,NEW JERSEY,"IRRIGATED, NONE OF CROP"
HAY,2002,3.70000,MICHIGAN,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2002,8.50000,US TOTAL,"IRRIGATED, PART OF CROP"
HAYLAGE,2012,10.70000,US TOTAL,"IRRIGATED, ENTIRE CROP"
HAY,2012,1.30000,US TOTAL,"IRRIGATED, NONE OF CROP"
HAYLAGE,2012,7.60000,US TOTAL,"IRRIGATED, PART OF CROP"
SUGARBEETS,2012,32.80000,US TOTAL,"IRRIGATED, ENTIRE CROP"
HAY,2002,.00000,LOUISIANA,"IRRIGATED, ENTIRE CROP"
HAY,2002,.00000,IOWA,"IRRIGATED, NONE OF CROP"
HAYLAGE,2012,15.90000,ARIZONA,"IRRIGATED, ENTIRE CROP"
HAY,2012,3.70000,ILLINOIS,"IRRIGATED, ENTIRE CROP"
HAY,2012,.00000,ILLINOIS,"IRRIGATED, NONE OF CROP"
HAYLAGE,2012,.00000,ILLINOIS,"IRRIGATED, ENTIRE CROP"
CORN,2002,8.60000,SOUTH CAROLINA,"IRRIGATED, NONE OF CROP"
HAY,2007,2.50000,US TOTAL,"IRRIGATED, PART OF CROP"
HAYLAGE,2007,13.30000,TEXAS,"IRRIGATED, ENTIRE CROP"
HAY,2002,2.00000,WYOMING,"IRRIGATED, ENTIRE CROP"
HAY,2002,1.20000,KANSAS,"IRRIGATED, ENTIRE CROP"
HAY,2012,.00000,ILLINOIS,"IRRIGATED, ENTIRE CROP"
SUGARBEETS,2012,26.20000,US TOTAL,"IRRIGATED, NONE OF CROP"
SUGARBEETS,2002,27.70000,OREGON,"IRRIGATED, ENTIRE CROP"
HAY,2012,.90000,WYOMING,"IRRIGATED, PART OF CROP"
HAY,2002,2.50000,IDAHO,"IRRIGATED, PART OF CROP"
CORN,2002,12.20000,DELAWARE,"IRRIGATED, NONE OF CROP"
CORN,2007,22.00000,MONTANA,"IRRIGATED, PART OF CROP"
HAYLAGE,2002,.00000,TEXAS,"IRRIGATED, NONE OF CROP"
HAY,2012,1.50000,KANSAS,"IRRIGATED, NONE OF CROP"
HAY,2012,1.00000,KANSAS,"IRRIGATED, NONE OF CROP"
HAYLAGE,2007,10.00000,ARIZONA,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2007,4.30000,MINNESOTA,"IRRIGATED, PART OF CROP"
HAYLAGE,2007,3.00000,PENNSYLVANIA,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2007,3.00000,TENNESSEE,"IRRIGATED, NONE OF CROP"
HAYLAGE,2007,8.90000,FLORIDA,"IRRIGATED, PART OF CROP"
HAY,2007,.00000,OHIO,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2007,7.00000,WYOMING,"IRRIGATED, PART OF CROP"
HAYLAGE,2007,1.90000,ALABAMA,"IRRIGATED, NONE OF CROP"
CORN,2007,18.30000,FLORIDA,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2007,2.20000,UTAH,"IRRIGATED, NONE OF CROP"
CORN,2012,.00000,HAWAII,"IRRIGATED, NONE OF CROP"
HAYLAGE,2012,.00000,HAWAII,"IRRIGATED, PART OF CROP"
HAYLAGE,2007,7.10000,VIRGINIA,"IRRIGATED, PART OF CROP"
HAY,2002,.00000,ALASKA,"IRRIGATED, NONE OF CROP"
HAY,2007,1.20000,UTAH,"IRRIGATED, NONE OF CROP"
HAY,2007,.00000,FLORIDA,"IRRIGATED, PART OF CROP"
HAYLAGE,2007,.00000,MARYLAND,"IRRIGATED, PART OF CROP"
CORN,2002,14.50000,ILLINOIS,"IRRIGATED, ENTIRE CROP"
HAY,2002,1.70000,WASHINGTON,"IRRIGATED, PART OF CROP"
HAYLAGE,2002,12.50000,IDAHO,"IRRIGATED, PART OF CROP"
CORN,2002,19.00000,TENNESSEE,"IRRIGATED, ENTIRE CROP"
HAY,2002,.00000,HAWAII,"IRRIGATED, PART OF CROP"
HAYLAGE,2002,5.70000,NEW HAMPSHIRE,"IRRIGATED, NONE OF CROP"
HAY,2002,1.60000,US TOTAL,"IRRIGATED, NONE OF CROP"
HAY,2007,2.80000,OKLAHOMA,"IRRIGATED, ENTIRE CROP"
CORN,2007,17.00000,US TOTAL,"IRRIGATED, PART OF CROP"
SUGARCANE,2007,37.30000,FLORIDA,"IRRIGATED, ENTIRE CROP"
HAY,2002,2.90000,NEVADA,"IRRIGATED, ENTIRE CROP"
HAY,2007,1.60000,SOUTH DAKOTA,"IRRIGATED, PART OF CROP"
HAY,2007,.00000,SOUTH CAROLINA,"IRRIGATED, PART OF CROP"
HAY,2012,1.30000,MAINE,"IRRIGATED, PART OF CROP"
HAY,2002,2.10000,COLORADO,"IRRIGATED, PART OF CROP"
HAY,2002,1.40000,MINNESOTA,"IRRIGATED, NONE OF CROP"
HAYLAGE,2012,2.70000,MAINE,"IRRIGATED, PART OF CROP"
HAY,2007,3.30000,NORTH DAKOTA,"IRRIGATED, PART OF CROP"
HAYLAGE,2002,.00000,ALASKA,"IRRIGATED, PART OF CROP"
CORN,2012,.00000,LOUISIANA,"IRRIGATED, ENTIRE CROP"
HAY,2012,2.40000,LOUISIANA,"IRRIGATED, NONE OF CROP"
HAY,2007,2.60000,MICHIGAN,"IRRIGATED, ENTIRE CROP"
HAY,2007,.00000,OHIO,"IRRIGATED, ENTIRE CROP"
CORN,2012,.00000,MAINE,"IRRIGATED, PART OF CROP"
HAYLAGE,2012,7.20000,MAINE,"IRRIGATED, NONE OF CROP"
CORN,2012,19.00000,VERMONT,"IRRIGATED, NONE OF CROP"
HAY,2012,.00000,VERMONT,"IRRIGATED, PART OF CROP"
HAY,2012,.00000,VERMONT,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2012,6.20000,LOUISIANA,"IRRIGATED, ENTIRE CROP"
HAYLAGE,2012,4.80000,LOUISIANA,"IRRIGATED, PART OF CROP"
HAY,2012,1.20000,KANSAS,"IRRIGATED, PART OF CROP"
CORN,2012,14.30000,IOWA,"IRRIGATED, NONE OF CROP"
HAY,2007,.00000,MASSACHUSETTS,"IRRIGATED, ENTIRE CROP"
HAY,2002,3.80000,MINNESOTA,"IRRIGATED, PART OF CROP"
HAYLAGE,2002,4.10000,LOUISIANA,"IRRIGATED, PART OF CROP"
HAY,2002,2.00000,US TOTAL,"IRRIGATED, PART OF CROP"
HAY,2007,.00000,ALASKA,"IRRIGATED, PART OF CROP"
CORN,2007,10.90000,TENNESSEE,"IRRIGATED, NONE OF CROP"
CORN,2007,.00000,IOWA,"IRRIGATED, ENTIRE CROP"
HAY,2007,1.40000,INDIANA,"IRRIGATED, PART OF CROP"
HAY,2012,2.50000,MARYLAND,"IRRIGATED, PART OF CROP"
HAYLAGE,2012,7.20000,MARYLAND,"IRRIGATED, PART OF CROP"
HAY,2012,1.10000,IDAHO,"IRRIGATED, NONE OF CROP"
HAYLAGE,2012,.00000,IDAHO,"IRRIGATED, NONE OF CROP"
HAY,2002,.80000,PENNSYLVANIA,"IRRIGATED, ENTIRE CROP"
HAY,2002,1.20000,VIRGINIA,"IRRIGATED, PART OF CROP"
HAYLAGE,2002,6.10000,MAINE,"IRRIGATED, NONE OF CROP"
